subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 11 0.075 0 second 11 1 220 6 5.955001 0.01999831199646 1 1 -1 1
lala 12 0.0375 1 first 9 1 221 5 5.037499 0.01999831199646 1 1 1 0
lala 12 0.075 1 second 11 1 222 6 6.030001 0.01999831199646 1 1 1 1
lala 10 0.15 1 first 16 1 223 6 6.059999 0.01999831199646 0 0 1 0
lala 4 1.2 1 second 1 1 224 4 4.12 0.01999831199646 -1 1 1 1
lala 18 0.0046875 0 second 14 1 225 5 4.996875 0.01999831199646 0 0 -1 1
lala 13 0.0375 0 second 17 1 226 6 5.992501 0.01999831199646 0 1 -1 1
lala 15 0.009375 1 second 15 1 227 5 5.009375 0.01999831199646 0 1 1 0
lala 15 0.009375 0 first 12 1 228 4 3.999375 0.01999831199646 0 0 -1 0
lala 14 0.01875 0 second 2 1 229 5 4.9875 0.01999831199646 -1 0 -1 1
lala 11 0.075 0 first 16 1 230 6 5.985 0.01999831199646 0 0 -1 0
lala 14 0.01875 1 first 17 1 232 6 6.011251 0.01999831199646 0 1 1 0
lala 15 0.009375 1 first 17 1 233 6 6.001876 0.01999831199646 0 1 1 1
lala 16 0.009375 1 first 12 1 234 4 4.00875 0.01999831199646 0 0 1 1
lala 15 0.009375 0 first 2 1 235 5 4.996875 0.01999831199646 -1 0 -1 0
lala 14 0.01875 0 first 10 1 236 6 5.984999 0.01999831199646 1 0 -1 1
lala 14 0.01875 0 first 4 1 237 6 5.984999 0.01999831199646 -1 0 -1 1
lala 13 0.0375 0 first 11 1 238 6 5.992501 0.01999831199646 1 1 -1 1
lala 5 0.6 0 first 1 1 239 4 3.52 0.01999831199646 -1 1 -1 1
lala 15 0.009375 0 second 8 1 240 5 4.996875 0.01999831199646 1 0 -1 1
lala 17 0.0046875 1 first 12 1 241 4 4.004063 0.01999831199646 0 0 1 1
lala 13 0.01875 1 second 0 1 242 4 4.00875 0.01999831199646 -1 0 1 1
lala 11 0.0375 0 first 13 1 243 4 3.97 0.01999831199646 0 1 -1 0
lala 14 0.01875 1 first 11 1 244 6 6.011251 0.01999831199646 1 1 1 0
lala 19 0.00234375 0 first 14 1 245 5 4.999219 0.01999831199646 0 0 -1 0
lala 18 0.0046875 0 second 12 1 247 4 3.999375 0.01999831199646 0 0 -1 0
lala 15 0.009375 0 first 10 1 248 6 5.994374 0.01999831199646 1 0 -1 1
lala 10 0.0375 1 second 7 1 249 4 4.0075 0.01999831199646 1 1 1 0
lala 6 0.3 0 second 1 1 250 4 3.82 0.01999831199646 -1 1 -1 1
lala 16 0.009375 1 second 2 1 251 5 5.00625 0.01999831199646 -1 0 1 1
lala 12 0.01875 0 second 13 1 252 4 3.98875 0.01999831199646 0 1 -1 0
lala 16 0.009375 0 first 17 1 253 6 5.992501 0.01999831199646 0 1 -1 1
lala 13 0.0375 0 second 9 1 254 5 5 0.01999831199646 1 1 -1 0
lala 12 0.0375 1 first 16 1 255 6 6.0225 0.01999831199646 0 0 1 1
lala 13 0.01875 1 second 16 1 256 6 6.003749 0.01999831199646 0 0 1 0
lala 15 0.009375 1 second 11 1 257 6 6.001876 0.01999831199646 1 1 1 0
lala 17 0.0046875 1 first 2 1 258 5 5.001563 0.01999831199646 -1 0 1 0
lala 15 0.009375 0 second 4 1 259 6 5.994374 0.01999831199646 -1 0 -1 1
lala 18 0.0046875 0 first 2 1 260 5 4.996875 0.01999831199646 -1 0 -1 1
lala 20 0.00234375 1 second 14 1 261 5 5.001563 0.01999831199646 0 0 1 1
lala 13 0.01875 1 first 13 1 262 4 4.0075 0.01999831199646 0 1 1 0
lala 16 0.009375 1 second 4 1 263 6 6.003749 0.01999831199646 -1 0 1 0
lala 16 0.009375 1 first 8 1 264 5 5.00625 0.01999831199646 1 0 1 0
lala 16 0.009375 1 second 10 1 265 6 6.003749 0.01999831199646 1 0 1 0
lala 17 0.0046875 0 second 4 1 266 6 5.999062 0.01999831199646 -1 0 -1 0
lala 17 0.0046875 0 first 17 1 267 6 5.997188 0.01999831199646 0 1 -1 1
